,mach_id,asm_id,asm_name,par_id,ile,name
176,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3766,1,DIN_127_M12_Zn_HV200
177,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3769,1,DIN_934_M12_Zn_KL8
178,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3772,1,DIN_125_M12_Zn_HV200
179,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3775,1,DIN_934_M12_Zn_KL8
180,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3778,1,DIN_127_M12_Zn_HV200
181,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3781,1,DIN_125_M12_Zn_HV200
182,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3784,1,DIN_933_M12x40_Zn_KL8.8
183,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3787,1,DIN_125_M12_Zn_HV200
184,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3790,1,DIN_127_M12_Zn_HV200
185,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3793,1,DIN_125_M12_Zn_HV200
186,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3796,1,DIN_125_M12_Zn_HV200
187,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3799,1,DIN_934_M12_Zn_KL8
188,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3802,1,DIN_127_M12_Zn_HV200
189,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3805,1,DIN_125_M12_Zn_HV200
190,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3808,1,DIN_933_M12x40_Zn_KL8.8
191,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3811,1,DIN_125_M12_Zn_HV200
192,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3814,1,DIN_127_M12_Zn_HV200
193,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3817,1,DIN_933_M12x40_Zn_KL8.8
194,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3820,1,DIN_933_M12x40_Zn_KL8.8
195,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3823,1,DIN_125_M12_Zn_HV200
196,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3826,1,DIN_125_M12_Zn_HV200
197,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3829,1,DIN_127_M12_Zn_HV200
198,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3832,1,DIN_934_M12_Zn_KL8
199,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3835,1,DIN_125_M12_Zn_HV200
200,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3838,1,
201,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3945,1,DIN_125_M8_Zn_HV200
202,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3988,1,DIN_934_M8_Zn_KL8
203,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3991,1,DIN_934_M8_Zn_KL8
204,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3994,1,DIN_127_M8_Zn_HV200
205,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3997,1,DIN_127_M8_Zn_HV200
206,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4000,1,DIN_127_M8_Zn_HV200
207,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4003,1,
208,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4110,1,
209,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4217,1,DIN_9021_M8_Zn_HV200
210,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4267,1,DIN_933_M10x30_Zn_KL8.8
211,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4270,1,DIN_933_M10x30_Zn_KL8.8
212,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4273,1,DIN_9021_M8_Zn_HV200
213,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4422,1,Kolo_lancuchowe_z_piasta_SM_10B-1_z16_d25
214,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4481,1,032P_01.00.00.001_Plaskownik_spinajacy
215,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4517,1,DIN_127_M10_Zn_HV200
216,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4520,1,DIN_127_M10_Zn_HV200
217,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4552,1,DIN_125_M10_Zn_HV200
218,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4555,1,DIN_125_M10_Zn_HV200
219,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4558,1,DIN_125_M12_Zn_HV200
220,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4561,1,DIN_9021_M8_Zn_HV200
221,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4567,1,
222,032P,id13,032P_01.00.00.000_Modul_rolkowy,id4946,1,032P_01.00.00.001_Plaskownik_spinajacy
223,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5557,1,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_CHT_MVS_DX_PC_SX"
224,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5560,1,DIN_934_M8_Zn_KL8
225,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5563,1,
226,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5670,1,DIN_934_M8_Zn_KL8
227,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5673,1,
228,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5710,1,DIN_125_M12_Zn_HV200
229,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5713,1,
230,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5750,1,
231,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5852,1,DIN_933_M8x30_Zn_KL8.8
232,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5855,1,DIN_933_M8x30_Zn_KL8.8
233,032P,id13,032P_01.00.00.000_Modul_rolkowy,id5858,1,DIN_933_M8x30_Zn_KL8.8
